Field #,Field Width,Field Name,year
5,1,Borrower Income Ratio,2021
6,1,"Loan-to-Value Ratio (LTV) at Origination, or Combined LTV (CLTV) where available",2021
7,1,Purpose of Loan,2021
8,1,Federal Guarantee,2021
9,1,Credit Score,2021
10,1,Product Type,2021
11,9,Purchase Price,2021
12,2,Interest Rate at Origination,2021
13,1,Term of Mortgage at Origination,2021
14,1,Amortization Term,2021
15,1,Portfolio Flag,2021
16,6,Percent Repurchased,2021
1,1,Enterprise Flag,2022
2,7,Record Number,2022
3,1,2020 Census Tract - Percent Minority,2022
4,1,Tract Income Ratio,2022
5,1,Borrower Income Ratio,2022
6,1,"Loan-to-Value Ratio (LTV) at Origination, or Combined LTV (CLTV) where available",2022
7,1,Purpose of Loan,2022
8,1,Federal Guarantee,2022
9,1,Credit Score,2022
10,1,Product Type,2022
11,9,Purchase Price,2022
12,2,Interest Rate at Origination,2022
13,1,Term of Mortgage at Origination,2022
14,1,Amortization Term,2022
15,1,Portfolio Flag,2022
16,6,Percent Repurchased,2022
1,1,Enterprise Flag,2023
2,7,Record Number,2023
3,1,2020 Census Tract - Percent Minority,2023
4,1,Tract Income Ratio,2023
5,1,Borrower Income Ratio,2023
6,1,"Loan-to-Value Ratio (LTV) at Origination, or Combined LTV (CLTV) where available",2023
7,1,Purpose of Loan,2023
8,1,Federal Guarantee,2023
9,1,Credit Score,2023
10,1,Product Type,2023
11,9,Purchase Price,2023
12,2,Interest Rate at Origination,2023
13,1,Term of Mortgage at Origination,2023
14,1,Amortization Term,2023
15,1,Portfolio Flag,2023
16,6,Percent Repurchased,2023
1,1,Enterprise Flag,2024
2,8,Record Number,2024
3,1,2020 Census Tract - Percent Minority,2024
4,1,Tract Income Ratio,2024
5,1,Borrower Income Ratio,2024
6,1,"Loan-to-Value Ratio (LTV) at Origination, or Combined LTV (CLTV) where available",2024
7,1,Purpose of Loan,2024
8,1,Federal Guarantee,2024
9,1,Credit Score,2024
10,1,Product Type,2024
11,9,Purchase Price,2024
12,2,Interest Rate at Origination,2024
13,1,Term of Mortgage at Origination,2024
14,1,Amortization Term,2024
15,1,Portfolio Flag,2024
16,6,Percent Repurchased,2024
