Field #,Field Width,Field Name,year
10,1,"Borrower Race or National Origin, and Ethnicity",2013
11,1,"Co-Borrower Race or National Origin, and Ethnicity",2013
12,1,Borrower Sex,2013
13,1,Co-Borrower Sex,2013
14,1,Number of Units,2013
15,1,Unit - Affordability Category,2013
1,1,Enterprise Flag,2014
2,7,Record Number,2014
3,1,Metropolitan Statistical Area (MSA) Code,2014
4,1,2010 Census Tract - Percent Minority,2014
5,1,Tract Income Ratio,2014
6,1,Borrower Income Ratio,2014
7,1,"Loan-to-Value Ratio (LTV) at Origination, or Combined LTV where available",2014
8,1,Purpose of Loan,2014
9,1,Federal Guarantee,2014
10,1,"Borrower Race or National Origin, and Ethnicity",2014
11,1,"Co-Borrower Race or National Origin, and Ethnicity",2014
12,1,Borrower Sex,2014
13,1,Co-Borrower Sex,2014
14,1,Number of Units,2014
15,1,Unit - Affordability Category,2014
1,1,Enterprise Flag,2015
2,7,Record Number,2015
3,1,Metropolitan Statistical Area (MSA) Code,2015
4,1,2010 Census Tract - Percent Minority,2015
5,1,Tract Income Ratio,2015
6,1,Borrower Income Ratio,2015
7,1,"Loan-to-Value Ratio (LTV) at Origination, or Combined LTV where available",2015
8,1,Purpose of Loan,2015
9,1,Federal Guarantee,2015
10,1,"Borrower Race or National Origin, and Ethnicity",2015
11,1,"Co-Borrower Race or National Origin, and Ethnicity",2015
12,1,Borrower Sex,2015
13,1,Co-Borrower Sex,2015
14,1,Number of Units,2015
15,1,Unit - Affordability Category,2015
1,1,Enterprise Flag,2016
2,7,Record Number,2016
3,1,Metropolitan Statistical Area (MSA) Code,2016
4,1,2010 Census Tract - Percent Minority,2016
5,1,Tract Income Ratio,2016
6,1,Borrower Income Ratio,2016
7,1,"Loan-to-Value Ratio (LTV) at Origination, or Combined LTV where available",2016
8,1,Purpose of Loan,2016
9,1,Federal Guarantee,2016
10,1,"Borrower Race or National Origin, and Ethnicity",2016
11,1,"Co-Borrower Race or National Origin, and Ethnicity",2016
12,1,Borrower Sex,2016
13,1,Co-Borrower Sex,2016
14,1,Number of Units,2016
15,1,Unit - Affordability Category,2016
1,1,Enterprise Flag,2017
2,7,Record Number,2017
3,1,Metropolitan Statistical Area (MSA) Code,2017
4,1,2010 Census Tract - Percent Minority,2017
5,1,Tract Income Ratio,2017
6,1,Borrower Income Ratio,2017
7,1,"Loan-to-Value Ratio (LTV) at Origination, or Combined LTV where available",2017
8,1,Purpose of Loan,2017
9,1,Federal Guarantee,2017
10,1,"Borrower Race or National Origin, and Ethnicity",2017
11,1,"Co-Borrower Race or National Origin, and Ethnicity",2017
12,1,Borrower Sex,2017
13,1,Co-Borrower Sex,2017
14,1,Number of Units,2017
15,1,Unit - Affordability Category,2017
1,1,Enterprise Flag,2018
2,7,Record Number,2018
3,1,Metropolitan Statistical Area (MSA) Code,2018
4,1,2010 Census Tract - Percent Minority,2018
5,1,Tract Income Ratio,2018
6,1,Borrower Income Ratio,2018
7,1,"Loan-to-Value Ratio (LTV) at Origination, or Combined LTV (CLTV) where available",2018
8,1,Purpose of Loan,2018
9,1,Federal Guarantee,2018
10,1,"Borrower Race or National Origin, and Ethnicity",2018
11,1,"Co-Borrower Race or National Origin, and Ethnicity",2018
12,1,Borrower Sex,2018
13,1,Co-Borrower Sex,2018
14,1,Number of Units,2018
15,1,Unit - Affordability Category,2018
1,1,Enterprise Flag,2019
2,7,Record Number,2019
3,1,Metropolitan Statistical Area (MSA) Code,2019
4,1,2010 Census Tract - Percent Minority,2019
5,1,Tract Income Ratio,2019
6,1,Borrower Income Ratio,2019
7,1,"Loan-to-Value Ratio (LTV) at Origination, or Combined LTV (CLTV) where available",2019
8,1,Purpose of Loan,2019
9,1,Federal Guarantee,2019
10,1,"Borrower Race or National Origin, and Ethnicity",2019
11,1,"Co-Borrower Race or National Origin, and Ethnicity",2019
12,1,Borrower Sex,2019
13,1,Co-Borrower Sex,2019
14,1,Number of Units,2019
15,1,Unit - Affordability Category,2019
1,1,Enterprise Flag,2020
2,7,Record Number,2020
3,1,Metropolitan Statistical Area (MSA) Code,2020
4,1,2010 Census Tract - Percent Minority,2020
5,1,Tract Income Ratio,2020
6,1,Borrower Income Ratio,2020
7,1,"Loan-to-Value Ratio (LTV) at Origination, or Combined LTV (CLTV) where available",2020
8,1,Purpose of Loan,2020
9,1,Federal Guarantee,2020
10,1,"Borrower Race or National Origin, and Ethnicity",2020
11,1,"Co-Borrower Race or National Origin, and Ethnicity",2020
12,1,Borrower Sex,2020
13,1,Co-Borrower Sex,2020
14,1,Number of Units,2020
15,1,Unit - Affordability Category,2020
1,1,Enterprise Flag,2021
2,7,Record Number,2021
3,1,Metropolitan Statistical Area (MSA) Code,2021
4,1,2010 Census Tract - Percent Minority,2021
5,1,Tract Income Ratio,2021
6,1,Borrower Income Ratio,2021
7,1,"Loan-to-Value Ratio (LTV) at Origination, or Combined LTV (CLTV) where available",2021
8,1,Purpose of Loan,2021
