Field #,Field Width,Field Name,year
10,8,Tract Income Ratio,2012
11,9,Borrower’s (or Borrowers’) Annual Income,2012
12,6,Area Median Family Income (2012),2012
13,8,Borrower Income Ratio,2012
14,9,Acquisition Unpaid Principal Balance (UPB),2012
15,1,Purpose of Loan,2012
16,1,Federal Guarantee,2012
17,2,Number of Borrowers,2012
18,1,First-Time Home Buyer,2012
19,1,Borrower Race or National Origin 1,2012
20,1,Borrower Race or National Origin 2,2012
21,1,Borrower Race or National Origin 3,2012
22,1,Borrower Race or National Origin 4,2012
23,1,Borrower Race or National Origin 5,2012
24,1,Borrower Ethnicity,2012
25,1,Co-Borrower Race or National Origin 1,2012
26,1,Co-Borrower Race or National Origin 2,2012
27,1,Co-Borrower Race or National Origin 3,2012
28,1,Co-Borrower Race or National Origin 4,2012
29,1,Co-Borrower Race or National Origin 5,2012
30,1,Co-Borrower Ethnicity,2012
31,1,Borrower Sex,2012
32,1,Co-Borrower Sex,2012
33,3,Age of Borrower,2012
34,3,Age of Co-Borrower,2012
35,1,Occupancy Code,2012
36,5,Rate Spread,2012
37,1,HOEPA Status,2012
38,1,Property Type,2012
39,1,Lien Status,2012
1,1,Enterprise Flag,2013
2,7,Record Number,2013
3,2,US Postal State Code,2013
4,5,Metropolitan Statistical Area (MSA) Code,2013
5,3,County - 2010 Census,2013
6,6,Census Tract - 2010 Census,2013
7,6,2010 Census Tract - Percent Minority,2013
8,6,2010 Census Tract - Median Income,2013
9,6,Local Area Median Income,2013
10,8,Tract Income Ratio,2013
11,9,Borrower’s (or Borrowers’) Annual Income,2013
12,6,Area Median Family Income (2013),2013
13,8,Borrower Income Ratio,2013
14,9,Acquisition Unpaid Principal Balance (UPB),2013
15,1,Purpose of Loan,2013
16,1,Federal Guarantee,2013
17,2,Number of Borrowers,2013
18,1,First-Time Home Buyer,2013
19,1,Borrower Race or National Origin 1,2013
20,1,Borrower Race or National Origin 2,2013
21,1,Borrower Race or National Origin 3,2013
22,1,Borrower Race or National Origin 4,2013
23,1,Borrower Race or National Origin 5,2013
24,1,Borrower Ethnicity,2013
25,1,Co-Borrower Race or National Origin 1,2013
26,1,Co-Borrower Race or National Origin 2,2013
27,1,Co-Borrower Race or National Origin 3,2013
28,1,Co-Borrower Race or National Origin 4,2013
29,1,Co-Borrower Race or National Origin 5,2013
30,1,Co-Borrower Ethnicity,2013
31,1,Borrower Sex,2013
32,1,Co-Borrower Sex,2013
33,3,Age of Borrower,2013
34,3,Age of Co-Borrower,2013
35,1,Occupancy Code,2013
36,5,Rate Spread,2013
37,1,HOEPA Status,2013
38,1,Property Type,2013
39,1,Lien Status,2013
1,1,Enterprise Flag,2014
2,7,Record Number,2014
3,2,US Postal State Code,2014
4,5,Metropolitan Statistical Area (MSA) Code,2014
5,3,County - 2010 Census,2014
6,6,Census Tract - 2010 Census,2014
7,6,2010 Census Tract - Percent Minority,2014
8,6,2010 Census Tract - Median Income,2014
9,6,Local Area Median Income,2014
10,8,Tract Income Ratio,2014
11,9,Borrower’s (or Borrowers’) Annual Income,2014
12,6,Area Median Family Income (2014),2014
13,8,Borrower Income Ratio,2014
14,9,Acquisition Unpaid Principal Balance (UPB),2014
15,1,Purpose of Loan,2014
16,1,Federal Guarantee,2014
17,2,Number of Borrowers,2014
18,1,First-Time Home Buyer,2014
19,1,Borrower Race or National Origin 1,2014
20,1,Borrower Race or National Origin 2,2014
21,1,Borrower Race or National Origin 3,2014
22,1,Borrower Race or National Origin 4,2014
23,1,Borrower Race or National Origin 5,2014
24,1,Borrower Ethnicity,2014
25,1,Co-Borrower Race or National Origin 1,2014
26,1,Co-Borrower Race or National Origin 2,2014
27,1,Co-Borrower Race or National Origin 3,2014
28,1,Co-Borrower Race or National Origin 4,2014
29,1,Co-Borrower Race or National Origin 5,2014
30,1,Co-Borrower Ethnicity,2014
31,1,Borrower Sex,2014
32,1,Co-Borrower Sex,2014
33,3,Age of Borrower,2014
34,3,Age of Co-Borrower,2014
35,1,Occupancy Code,2014
36,5,Rate Spread,2014
37,1,HOEPA Status,2014
38,1,Property Type,2014
39,1,Lien Status,2014
1,1,Enterprise Flag,2015
2,7,Record Number,2015
3,2,US Postal State Code,2015
4,5,Metropolitan Statistical Area (MSA) Code,2015
5,3,County - 2010 Census,2015
6,6,Census Tract - 2010 Census,2015
7,6,2010 Census Tract - Percent Minority,2015
8,6,2010 Census Tract - Median Income,2015
9,6,Local Area Median Income,2015
10,8,Tract Income Ratio,2015
11,9,Borrower’s (or Borrowers’) Annual Income,2015
12,6,Area Median Family Income (2015),2015
13,8,Borrower Income Ratio,2015
14,9,Acquisition Unpaid Principal Balance (UPB),2015
15,1,Purpose of Loan,2015
16,1,Federal Guarantee,2015
17,2,Number of Borrowers,2015
18,1,First-Time Home Buyer,2015
19,1,Borrower Race or National Origin 1,2015
20,1,Borrower Race or National Origin 2,2015
21,1,Borrower Race or National Origin 3,2015
22,1,Borrower Race or National Origin 4,2015
23,1,Borrower Race or National Origin 5,2015
24,1,Borrower Ethnicity,2015
25,1,Co-Borrower Race or National Origin 1,2015
26,1,Co-Borrower Race or National Origin 2,2015
27,1,Co-Borrower Race or National Origin 3,2015
28,1,Co-Borrower Race or National Origin 4,2015
29,1,Co-Borrower Race or National Origin 5,2015
30,1,Co-Borrower Ethnicity,2015
31,1,Borrower Sex,2015
32,1,Co-Borrower Sex,2015
33,3,Age of Borrower,2015
34,3,Age of Co-Borrower,2015
35,1,Occupancy Code,2015
36,5,Rate Spread,2015
37,1,HOEPA Status,2015
38,1,Property Type,2015
39,1,Lien Status,2015
1,1,Enterprise Flag,2016
2,7,Record Number,2016
3,2,US Postal State Code,2016
4,5,Metropolitan Statistical Area (MSA) Code,2016
5,3,County - 2010 Census,2016
6,6,Census Tract - 2010 Census,2016
7,6,2010 Census Tract - Percent Minority,2016
8,6,2010 Census Tract - Median Income,2016
9,6,Local Area Median Income,2016
10,8,Tract Income Ratio,2016
11,9,Borrower’s (or Borrowers’) Annual Income,2016
12,6,Area Median Family Income (2016),2016
13,8,Borrower Income Ratio,2016
14,9,Acquisition Unpaid Principal Balance (UPB),2016
15,1,Purpose of Loan,2016
16,1,Federal Guarantee,2016
17,2,Number of Borrowers,2016
18,1,First-Time Home Buyer,2016
19,1,Borrower Race or National Origin 1,2016
20,1,Borrower Race or National Origin 2,2016
21,1,Borrower Race or National Origin 3,2016
22,1,Borrower Race or National Origin 4,2016
23,1,Borrower Race or National Origin 5,2016
24,1,Borrower Ethnicity,2016
25,1,Co-Borrower Race or National Origin 1,2016
26,1,Co-Borrower Race or National Origin 2,2016
27,1,Co-Borrower Race or National Origin 3,2016
