Field #,Field Width,Field Name,year
18,1,First-Time Home Buyer,2023
19,1,Borrower Race or National Origin 1,2023
20,1,Borrower Race or National Origin 2,2023
21,1,Borrower Race or National Origin 3,2023
22,1,Borrower Race or National Origin 4,2023
23,1,Borrower Race or National Origin 5,2023
24,1,Borrower Ethnicity,2023
25,1,Co-Borrower Race or National Origin 1,2023
26,1,Co-Borrower Race or National Origin 2,2023
27,1,Co-Borrower Race or National Origin 3,2023
28,1,Co-Borrower Race or National Origin 4,2023
29,1,Co-Borrower Race or National Origin 5,2023
30,1,Co-Borrower Ethnicity,2023
31,1,Borrower Sex,2023
32,1,Co-Borrower Sex,2023
33,1,Age of Borrower,2023
34,1,Age of Co-Borrower,2023
35,1,Occupancy Code,2023
36,5,Rate Spread,2023
37,1,HOEPA Status,2023
38,1,Property Type,2023
39,1,Lien Status,2023
40,1,Borrower Age 62 or older,2023
41,1,Co-Borrower Age 62 or older,2023
42,6,"Loan-to-Value Ratio (LTV) at Origination, or Combined LTV (CLTV) where available",2023
43,1,Date of Mortgage Note,2023
44,3,Term of Mortgage at Origination,2023
45,1,Number of Units,2023
46,6,Interest Rate at Origination,2023
47,9,Note Amount,2023
48,1,Preapproval,2023
49,1,Application Channel,2023
50,1,Automated Underwriting System (AUS) Name,2023
51,2,Credit Score Model - Borrower,2023
52,2,Credit Score Model - Co-Borrower,2023
53,2,Debt-to-Income (DTI) Ratio,2023
54,6,Discount Points,2023
55,3,Introductory Rate Period,2023
56,1,Manufactured Home - Land Property Interest,2023
57,9,Property Value,2023
58,1,Rural Census Tract,2023
59,1,Lower Mississippi Delta County,2023
60,1,Middle Appalachia County,2023
61,1,Persistent Poverty County,2023
62,1,Area of Concentrated Poverty,2023
63,1,High Opportunity Area,2023
64,1,Colonias Tract,2023
1,1,Enterprise Flag,2024
2,8,Record Number,2024
3,2,US Postal State Code,2024
4,5,Metropolitan Statistical Area (MSA) Code,2024
5,3,County - 2020 Census,2024
6,6,Census Tract - 2020 Census,2024
7,6,2020 Census Tract - Percent Minority,2024
8,6,2020 Census Tract - Median Income,2024
9,6,Local Area Median Income,2024
10,8,Tract Income Ratio,2024
11,9,Borrower’s (or Borrowers’) Annual Income,2024
12,6,Area Median Family Income (2024),2024
13,8,Borrower Income Ratio,2024
14,9,Acquisition Unpaid Principal Balance (UPB),2024
15,1,Purpose of Loan,2024
16,1,Federal Guarantee,2024
17,2,Number of Borrowers,2024
18,1,First-Time Home Buyer,2024
19,1,Borrower Race 1,2024
20,1,Borrower Race 2,2024
21,1,Borrower Race 3,2024
22,1,Borrower Race 4,2024
23,1,Borrower Race 5,2024
24,1,Borrower Ethnicity,2024
25,1,Co-Borrower Race or National Origin 1,2024
26,1,Co-Borrower Race or National Origin 2,2024
27,1,Co-Borrower Race or National Origin 3,2024
28,1,Co-Borrower Race or National Origin 4,2024
29,1,Co-Borrower Race or National Origin 5,2024
30,1,Co-Borrower Ethnicity,2024
31,1,Borrower Sex,2024
32,1,Co-Borrower Sex,2024
33,1,Age of Borrower,2024
34,1,Age of Co-Borrower,2024
35,1,Occupancy Code,2024
36,5,Rate Spread,2024
37,1,HOEPA Status,2024
38,1,Property Type,2024
39,1,Lien Status,2024
40,1,Borrower Age 62 or older,2024
41,1,Co-Borrower Age 62 or older,2024
42,6,"Loan-to-Value Ratio (LTV) at Origination, or Combined LTV (CLTV) where available",2024
43,1,Date of Mortgage Note,2024
44,3,Term of Mortgage at Origination,2024
45,1,Number of Units,2024
46,6,Interest Rate at Origination,2024
47,9,Note Amount,2024
48,1,Preapproval,2024
49,1,Application Channel,2024
50,1,Automated Underwriting System (AUS) Name,2024
51,2,Credit Score Model - Borrower,2024
52,2,Credit Score Model - Co-Borrower,2024
53,2,Debt-to-Income (DTI) Ratio,2024
54,6,Discount Points,2024
55,3,Introductory Rate Period,2024
56,1,Manufactured Home - Land Property Interest,2024
57,9,Property Value,2024
58,1,Rural Census Tract,2024
59,1,Lower Mississippi Delta County,2024
60,1,Middle Appalachia County,2024
61,1,Persistent Poverty County,2024
62,1,Area of Concentrated Poverty,2024
63,1,High Opportunity Area,2024
64,1,Colonias Tract,2024
