Field #,Field Width,Field Name,year
12,9,Acquisition Unpaid Principal Balance (UPB),2018
13,1,Purpose of Loan,2018
14,1,Type of Seller Institution,2018
15,1,Federal Guarantee,2018
16,1,Lien Status,2018
17,6,"Loan-to-Value Ratio (LTV) at Origination, or Combined LTV (CLTV) where available",2018
18,1,Date of Mortgage Note,2018
19,3,Term of Mortgage at Origination,2018
20,1,Number of Units,2018
21,6,Interest Rate at Origination,2018
22,9,Note Amount,2018
23,9,Property Value,2018
24,3,Prepayment Penalty Term,2018
25,1,Non-fully Amortizing Feature - Balloon,2018
26,1,Non-fully Amortizing Feature - Interest-only,2018
27,1,Non-fully Amortizing Feature - Negative Amortization,2018
28,1,Non-fully Amortizing Feature - Other,2018
29,3,Multifamily Affordable Units - Percent,2018
30,1,Construction Method,2018
31,1,Rural Census Tract,2018
32,1,Lower Mississippi Delta County,2018
33,1,Middle Appalachia County,2018
34,1,Persistent Poverty County,2018
35,1,Area of Concentrated Poverty,2018
36,1,High Opportunity Area,2018
37,1,Qualified Opportunity Zone (QOZ) Census Tract,2018
1,1,Enterprise Flag,2019
2,7,Record Number,2019
3,2,US Postal State Code,2019
4,5,Metropolitan Statistical Area (MSA) Code,2019
5,3,County - 2010 Census,2019
6,6,Census Tract - 2010 Census,2019
7,6,2010 Census Tract - Percent Minority,2019
8,6,2010 Census Tract - Median Income,2019
9,6,Local Area Median Income,2019
10,8,Tract Income Ratio,2019
11,6,Area Median Family Income (2019),2019
12,9,Acquisition Unpaid Principal Balance (UPB),2019
13,1,Purpose of Loan,2019
14,1,Type of Seller Institution,2019
15,1,Federal Guarantee,2019
16,1,Lien Status,2019
17,6,"Loan-to-Value Ratio (LTV) at Origination, or Combined LTV (CLTV) where available",2019
18,1,Date of Mortgage Note,2019
19,3,Term of Mortgage at Origination,2019
20,1,Number of Units,2019
21,6,Interest Rate at Origination,2019
22,9,Note Amount,2019
23,9,Property Value,2019
24,3,Prepayment Penalty Term,2019
25,1,Non-fully Amortizing Feature - Balloon,2019
26,1,Non-fully Amortizing Feature - Interest-only,2019
27,1,Non-fully Amortizing Feature - Negative Amortization,2019
28,1,Non-fully Amortizing Feature - Other,2019
29,3,Multifamily Affordable Units - Percent,2019
30,1,Construction Method,2019
31,1,Rural Census Tract,2019
32,1,Lower Mississippi Delta County,2019
33,1,Middle Appalachia County,2019
34,1,Persistent Poverty County,2019
35,1,Area of Concentrated Poverty,2019
36,1,High Opportunity Area,2019
37,1,Qualified Opportunity Zone (QOZ) Census Tract,2019
1,1,Enterprise Flag,2020
2,7,Record Number,2020
3,2,US Postal State Code,2020
4,5,Metropolitan Statistical Area (MSA) Code,2020
5,3,County - 2010 Census,2020
6,6,Census Tract - 2010 Census,2020
7,6,2010 Census Tract - Percent Minority,2020
8,6,2010 Census Tract - Median Income,2020
9,6,Local Area Median Income,2020
10,8,Tract Income Ratio,2020
11,6,Area Median Family Income (2020),2020
12,9,Acquisition Unpaid Principal Balance (UPB),2020
13,1,Purpose of Loan,2020
14,1,Type of Seller Institution,2020
15,1,Federal Guarantee,2020
16,1,Lien Status,2020
17,6,"Loan-to-Value Ratio (LTV) at Origination, or Combined LTV (CLTV) where available",2020
18,1,Date of Mortgage Note,2020
19,3,Term of Mortgage at Origination,2020
20,1,Number of Units,2020
21,6,Interest Rate at Origination,2020
22,9,Note Amount,2020
23,9,Property Value,2020
24,3,Prepayment Penalty Term,2020
25,1,Non-fully Amortizing Feature - Balloon,2020
