Item,Data Item,Data Type,Format,Max Length,File,Min_Date,Max_Date,group_id,pandas_dtype,polars_dtype
P27,Percentage of UPB of Loans 90+ days delinquent,Numeric,3.2,6,mfpldailymni3_MULTIFAMILY POOL AND LOAN NEW ISSUANCE MONTHLY DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,-1,,
P28,Security RPB,Numeric,11.2,14,mfpldailymni3_MULTIFAMILY POOL AND LOAN NEW ISSUANCE MONTHLY DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,-1,,
P29,RPB Factor,Numeric,1.8,10,mfpldailymni3_MULTIFAMILY POOL AND LOAN NEW ISSUANCE MONTHLY DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,-1,,
L1,Disclosure Sequence Number,Numeric,,10,mfpldailymni3_MULTIFAMILY POOL AND LOAN NEW ISSUANCE MONTHLY DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,0,,
L2,Case Number,String,,15,mfpldailymni3_MULTIFAMILY POOL AND LOAN NEW ISSUANCE MONTHLY DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,0,,
L3,Agency Type,String,,1,mfpldailymni3_MULTIFAMILY POOL AND LOAN NEW ISSUANCE MONTHLY DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,0,,
L4,Loan Type,String,,3,mfpldailymni3_MULTIFAMILY POOL AND LOAN NEW ISSUANCE MONTHLY DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,0,,
L5,Loan Term,Numeric,,3,mfpldailymni3_MULTIFAMILY POOL AND LOAN NEW ISSUANCE MONTHLY DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,0,,
L6,First Payment Date,Date,CCYYMMDD,8,mfpldailymni3_MULTIFAMILY POOL AND LOAN NEW ISSUANCE MONTHLY DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,0,,
L7,Maturity Date of Loan,Date,CCYYMMDD,8,mfpldailymni3_MULTIFAMILY POOL AND LOAN NEW ISSUANCE MONTHLY DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,0,,
L8,Loan Interest Rate,Numeric,2.3,6,mfpldailymni3_MULTIFAMILY POOL AND LOAN NEW ISSUANCE MONTHLY DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,0,,
L9,Modified Loan Indicator,String,,1,mfpldailymni3_MULTIFAMILY POOL AND LOAN NEW ISSUANCE MONTHLY DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,0,,
L10,Non-level Payments Indicator,String,,1,mfpldailymni3_MULTIFAMILY POOL AND LOAN NEW ISSUANCE MONTHLY DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,0,,
L11,Mature Loan Certification Flag,Numeric,,1,mfpldailymni3_MULTIFAMILY POOL AND LOAN NEW ISSUANCE MONTHLY DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,0,,
L12,Loan Origination Date,Date,CCYYMMDD,8,mfpldailymni3_MULTIFAMILY POOL AND LOAN NEW ISSUANCE MONTHLY DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,0,,
L13,Initial Endorsement Date,Date,CCYYMMDD,8,mfpldailymni3_MULTIFAMILY POOL AND LOAN NEW ISSUANCE MONTHLY DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,0,,
L14,Final Endorsement Date,Date,CCYYMMDD,8,mfpldailymni3_MULTIFAMILY POOL AND LOAN NEW ISSUANCE MONTHLY DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,0,,
L15,Lockout Term,Numeric,,2,mfpldailymni3_MULTIFAMILY POOL AND LOAN NEW ISSUANCE MONTHLY DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,0,,
L16,Lockout Period End Date,Date,CCYYMMDD,8,mfpldailymni3_MULTIFAMILY POOL AND LOAN NEW ISSUANCE MONTHLY DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,0,,
L17,Prepayment Premium Period,Numeric,,2,mfpldailymni3_MULTIFAMILY POOL AND LOAN NEW ISSUANCE MONTHLY DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,0,,
L18,Prepayment End Date,Date,CCYYMMDD,8,mfpldailymni3_MULTIFAMILY POOL AND LOAN NEW ISSUANCE MONTHLY DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,0,,
L19,Interest Approval Date,Date,CCYYMMDD,8,mfpldailymni3_MULTIFAMILY POOL AND LOAN NEW ISSUANCE MONTHLY DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,0,,
L20,Pre-Payment Penalty Flag,String,,1,mfpldailymni3_MULTIFAMILY POOL AND LOAN NEW ISSUANCE MONTHLY DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,0,,
L21,Original Principal Balance,Numeric,9.2,12,mfpldailymni3_MULTIFAMILY POOL AND LOAN NEW ISSUANCE MONTHLY DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,0,,
L22,UPB at Issuance,Numeric,9.2,12,mfpldailymni3_MULTIFAMILY POOL AND LOAN NEW ISSUANCE MONTHLY DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,0,,
L23,Unpaid Principal Balance,Numeric,9.2,12,mfpldailymni3_MULTIFAMILY POOL AND LOAN NEW ISSUANCE MONTHLY DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,0,,
L24,Draw Number,String,,2,mfpldailymni3_MULTIFAMILY POOL AND LOAN NEW ISSUANCE MONTHLY DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,0,,
L25,Approved Draw Amount,Numeric,10.2,13,mfpldailymni3_MULTIFAMILY POOL AND LOAN NEW ISSUANCE MONTHLY DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,0,,
L26,Months Delinquent,Numeric,,1,mfpldailymni3_MULTIFAMILY POOL AND LOAN NEW ISSUANCE MONTHLY DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,0,,
L27,Current Month Liquidation Flag,String,,1,mfpldailymni3_MULTIFAMILY POOL AND LOAN NEW ISSUANCE MONTHLY DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,0,,
L28,Removal Reason,Numeric,,1,mfpldailymni3_MULTIFAMILY POOL AND LOAN NEW ISSUANCE MONTHLY DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,0,,
