mbs_column,umbs_column,standardized_name,match_type
,Prefix,Prefix,umbs_only
,Prepayment Penalty Indicator,Prepayment Penalty Indicator,umbs_only
,Prepayment Penalty Total Term,Prepayment Penalty Total Term,umbs_only
,Remaining Months to Maturity,Remaining Months to Maturity,umbs_only
,Security Identifier,Security Identifier,umbs_only
,Seller City,Seller City,umbs_only
,Seller State,Seller State,umbs_only
,Servicer City,Servicer City,umbs_only
,Servicer State,Servicer State,umbs_only
,Special Eligibility Program,Special Eligibility Program,umbs_only
,Step Rate Adjustment Frequency,Step Rate Adjustment Frequency,umbs_only
,Terminal Step Date,Terminal Step Date,umbs_only
,Terminal Step Rate,Terminal Step Rate,umbs_only
,Total Capitalized Amount,Total Capitalized Amount,umbs_only
,Total Deferral Amount,Total Deferral Amount,umbs_only
,Total Number of Steps,Total Number of Steps,umbs_only
Amortization Type (Formerly Product Type),Amortization Type,Amortization Type,ambiguous
Credit Score,Borrower Credit Score,Credit Score 1,ambiguous
Credit Score,Origination Credit Score,,ambiguous
Credit Score,Updated Credit Score,,ambiguous
Mortgage Insurance Percentage (MI %),Mortgage Insurance Percent,Mortgage Insurance Percentage,ambiguous
Original Combined Loan-to-Value (CLTV),Combined Loan-To-Value (CLTV),Combined Loan-To-Value,ambiguous
Original Debt-to-Income (DTI) Ratio,Debt-To-Income (DTI),Debt-To-Income,ambiguous
Original Loan Term,Loan Term,Loan Term,ambiguous
Original Loan-to-Value (LTV),Loan-To-Value (LTV),Loan-To-Value,ambiguous
