Item,Data Item,Data Type,Format,Max Length,File,Min_Date,Max_Date,group_id,pandas_dtype,polars_dtype,Data Element,Type,Description
L9,Modified Loan Indicator,String,,1,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.2 (Mar 2023 - May 2023).pdf,2023-03-01,2023-05-01,0.0,,,,,
L10,Non-level Payments Indicator,String,,1,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.2 (Mar 2023 - May 2023).pdf,2023-03-01,2023-05-01,0.0,,,,,
L11,Mature Loan Certification Flag,Numeric,,1,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.2 (Mar 2023 - May 2023).pdf,2023-03-01,2023-05-01,0.0,,,,,
L12,Loan Origination Date,Date,CCYYMMDD,8,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.2 (Mar 2023 - May 2023).pdf,2023-03-01,2023-05-01,0.0,,,,,
L13,Initial Endorsement Date,Date,CCYYMMDD,8,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.2 (Mar 2023 - May 2023).pdf,2023-03-01,2023-05-01,0.0,,,,,
L14,Final Endorsement Date,Date,CCYYMMDD,8,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.2 (Mar 2023 - May 2023).pdf,2023-03-01,2023-05-01,0.0,,,,,
L15,Lockout Term,Numeric,,2,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.2 (Mar 2023 - May 2023).pdf,2023-03-01,2023-05-01,0.0,,,,,
L16,Lockout Period End Date,Date,CCYYMMDD,8,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.2 (Mar 2023 - May 2023).pdf,2023-03-01,2023-05-01,0.0,,,,,
L17,Prepayment Premium Period,Numeric,,2,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.2 (Mar 2023 - May 2023).pdf,2023-03-01,2023-05-01,0.0,,,,,
L18,Prepayment End Date,Date,CCYYMMDD,8,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.2 (Mar 2023 - May 2023).pdf,2023-03-01,2023-05-01,0.0,,,,,
L19,Interest Approval Date,Date,CCYYMMDD,8,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.2 (Mar 2023 - May 2023).pdf,2023-03-01,2023-05-01,0.0,,,,,
L20,Pre-Payment Penalty Flag,String,,1,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.2 (Mar 2023 - May 2023).pdf,2023-03-01,2023-05-01,0.0,,,,,
L21,Original Principal Balance,Numeric,9.2,12,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.2 (Mar 2023 - May 2023).pdf,2023-03-01,2023-05-01,0.0,,,,,
L22,UPB at Issuance,Numeric,9.2,12,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.2 (Mar 2023 - May 2023).pdf,2023-03-01,2023-05-01,0.0,,,,,
L23,Unpaid Principal Balance,Numeric,9.2,12,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.2 (Mar 2023 - May 2023).pdf,2023-03-01,2023-05-01,0.0,,,,,
L24,Draw Number,String,,2,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.2 (Mar 2023 - May 2023).pdf,2023-03-01,2023-05-01,0.0,,,,,
L25,Approved Draw Amount,Numeric,10.2,13,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.2 (Mar 2023 - May 2023).pdf,2023-03-01,2023-05-01,0.0,,,,,
L26,Months Delinquent,Numeric,,1,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.2 (Mar 2023 - May 2023).pdf,2023-03-01,2023-05-01,0.0,,,,,
L27,Current Month Liquidation Flag,String,,1,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.2 (Mar 2023 - May 2023).pdf,2023-03-01,2023-05-01,0.0,,,,,
L28,Removal Reason,Numeric,,1,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.2 (Mar 2023 - May 2023).pdf,2023-03-01,2023-05-01,0.0,,,,,
L29,Seller Issuer ID,Numeric,,4,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.2 (Mar 2023 - May 2023).pdf,2023-03-01,2023-05-01,0.0,,,,,
L30,Property Name,String,,60,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.2 (Mar 2023 - May 2023).pdf,2023-03-01,2023-05-01,0.0,,,,,
L31,Property Street,String,,55,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.2 (Mar 2023 - May 2023).pdf,2023-03-01,2023-05-01,0.0,,,,,
L32,Property City,String,,30,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.2 (Mar 2023 - May 2023).pdf,2023-03-01,2023-05-01,0.0,,,,,
L33,Property State,String,,2,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.2 (Mar 2023 - May 2023).pdf,2023-03-01,2023-05-01,0.0,,,,,
L34,Property Zip,Numeric,,9,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.2 (Mar 2023 - May 2023).pdf,2023-03-01,2023-05-01,0.0,,,,,
L35,MSA,Numeric,,5,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.2 (Mar 2023 - May 2023).pdf,2023-03-01,2023-05-01,0.0,,,,,
L36,Number of Units,Numeric,,4,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.2 (Mar 2023 - May 2023).pdf,2023-03-01,2023-05-01,0.0,,,,,
L37,Current Principal and Interest Amount,Numeric,9.2,12,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.2 (Mar 2023 - May 2023).pdf,2023-03-01,2023-05-01,0.0,,,,,
L38,Prepayment Description,String,,245,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.2 (Mar 2023 - May 2023).pdf,2023-03-01,2023-05-01,0.0,,,,,
L39,Description of Non-Level Adjustment Period,String,,230,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.2 (Mar 2023 - May 2023).pdf,2023-03-01,2023-05-01,0.0,,,,,
L40,FHA Program Section Code,String,,20,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.2 (Mar 2023 - May 2023).pdf,2023-03-01,2023-05-01,0.0,,,,,
L41,Insurance Type,String,,1,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.2 (Mar 2023 - May 2023).pdf,2023-03-01,2023-05-01,0.0,,,,,
L42,As of Date,Date,CCYYMM,6,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.2 (Mar 2023 - May 2023).pdf,2023-03-01,2023-05-01,0.0,,,,,
L43,Green Status,String,,3,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.2 (Mar 2023 - May 2023).pdf,2023-03-01,2023-05-01,0.0,,,,,
L44,Affordable Status,String,,3,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.2 (Mar 2023 - May 2023).pdf,2023-03-01,2023-05-01,0.0,,,,,
P1,,,,9,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.3 (Jun 2023 - Present).pdf,2023-06-01,2099-12-31,,,,CUSIP Number,String,"CUSIP Number: A nine-character unique identifier for the MBS
security for the pool."
P2,,,,6,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.3 (Jun 2023 - Present).pdf,2023-06-01,2099-12-31,,,,Pool Number,String,Pool ID: The six-character identifier for the pool.
P3,,,,1,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.3 (Jun 2023 - Present).pdf,2023-06-01,2099-12-31,,,,Pool Indicator (X),String,"Pool Indicator: Designates whether a pool is a Ginnie Mae I or
Ginnie Mae II pool. Always equal to “X” (Ginnie Mae I)."
P4,,,,2,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.3 (Jun 2023 - Present).pdf,2023-06-01,2099-12-31,,,,Pool Type,String,Pool Type: The two-character pool type for the pool.
P5,,,2.3,6,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.3 (Jun 2023 - Present).pdf,2023-06-01,2099-12-31,,,,Security Interest Rate,Numeric,"Security Interest Rate: The current interest rate associated with the
Security."
P6,,,CCYYMMDD,8,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.3 (Jun 2023 - Present).pdf,2023-06-01,2099-12-31,,,,Pool Issue Date,Date,Pool Issue Date: The date the pool was issued.
P7,,,CCYYMMDD,8,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.3 (Jun 2023 - Present).pdf,2023-06-01,2099-12-31,,,,Pool Maturity Date,Date,"Pool Maturity Date: The date the pool matures, i.e., the pool last
payment date."
P8,,,13.2,16,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.3 (Jun 2023 - Present).pdf,2023-06-01,2099-12-31,,,,Original Aggregate Amount,Numeric,"Original Aggregate Amount: The pool principal balance at
origination. This is the sum of the mortgage outstanding balances."
P9,,,,4,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.3 (Jun 2023 - Present).pdf,2023-06-01,2099-12-31,,,,Issuer Number,Numeric,"Issuer Number: The number assigned by Ginnie Mae to the issuer
organization."
P10,,,,40,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.3 (Jun 2023 - Present).pdf,2023-06-01,2099-12-31,,,,Issuer Name,String,Issuer Name: The name of the issuer.
P11,,,,30,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.3 (Jun 2023 - Present).pdf,2023-06-01,2099-12-31,,,,Issuer Address 1,String,Issuer Address 1: The street address of the Issuer.
P12,,,,30,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.3 (Jun 2023 - Present).pdf,2023-06-01,2099-12-31,,,,Issuer Address 2,String,Issuer Address 2: The second address of the Issuer (if needed.)
P13,,,,30,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.3 (Jun 2023 - Present).pdf,2023-06-01,2099-12-31,,,,Issuer City,String,Issuer City: The city where the Issuer is located.
P14,,,,2,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.3 (Jun 2023 - Present).pdf,2023-06-01,2099-12-31,,,,Issuer State,String,Issuer State: The state where the Issuer is located.
P15,,,,5,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.3 (Jun 2023 - Present).pdf,2023-06-01,2099-12-31,,,,Issuer Zip Code 1,Numeric,Issuer Zip Code 1: The zip code where the Issuer is located.
P16,,,,4,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.3 (Jun 2023 - Present).pdf,2023-06-01,2099-12-31,,,,Issuer Zip Code 2,Numeric,"Issuer Zip Code 2: The four additional digits to identify a
geographic segment within the five-digit delivery area."
P17,,,11.2,14,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.3 (Jun 2023 - Present).pdf,2023-06-01,2099-12-31,,,,Pool UPB,Numeric,Pool UPB: The sum of the loan UPB balances for the loans in this pool.
P18,,,,6,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.3 (Jun 2023 - Present).pdf,2023-06-01,2099-12-31,,,,Number of loans in pool,Numeric,Number of loans in pool: The number of loans in the pool.
P19,,,,6,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.3 (Jun 2023 - Present).pdf,2023-06-01,2099-12-31,,,,Number of Loans 30 days delinquent,Numeric,"Number of Loans 30 days delinquent: The number of loans that are
30 days delinquent."
P20,,,11.2,14,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.3 (Jun 2023 - Present).pdf,2023-06-01,2099-12-31,,,,UPB of Loans 30 days delinquent,Numeric,"UPB of Loans 30 days delinquent: The UPB of loans that are 30
days delinquent."
P21,,,3.2,6,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.3 (Jun 2023 - Present).pdf,2023-06-01,2099-12-31,,,,Percentage of UPB of Loans 30 days delinquent,Numeric,"Percentage of UPB of Loans 30 days delinquent: The percentage of
UPB of loans that are 30 days delinquent."
P22,,,,6,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.3 (Jun 2023 - Present).pdf,2023-06-01,2099-12-31,,,,Number of Loans 60 days delinquent,Numeric,"Number of Loans 60 days delinquent: The number of loans that are
60 days delinquent."
P23,,,11.2,14,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.3 (Jun 2023 - Present).pdf,2023-06-01,2099-12-31,,,,UPB of Loans 60 days delinquent,Numeric,"UPB of Loans 60 days delinquent: The UPB of loans that are 60
days delinquent."
P24,,,3.2,6,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.3 (Jun 2023 - Present).pdf,2023-06-01,2099-12-31,,,,Percentage of UPB of Loans 60 days delinquent,Numeric,"Percentage of UPB of Loans 60 days delinquent: The percentage of
UPB of loans that are 60 days delinquent."
P25,,,,6,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.3 (Jun 2023 - Present).pdf,2023-06-01,2099-12-31,,,,Number of Loans 90+ days delinquent,Numeric,"Number of Loans 90+ days delinquent: The number of loans that
are 90 days delinquent."
P26,,,11.2,14,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.3 (Jun 2023 - Present).pdf,2023-06-01,2099-12-31,,,,UPB of Loans 90+ days delinquent,Numeric,"UPB of Loans 90+ days delinquent: The UPB of loans that are 90
days delinquent."
P27,,,3.2,6,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.3 (Jun 2023 - Present).pdf,2023-06-01,2099-12-31,,,,Percentage of UPB of Loans 90+ days delinquent,Numeric,"Percentage of UPB of Loans 90+ days delinquent: The percentage
of UPB of loans that are 90 days delinquent."
P28,,,11.2,14,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.3 (Jun 2023 - Present).pdf,2023-06-01,2099-12-31,,,,Security RPB,Numeric,"Security RPB: The Security remaining unpaid principal dollar
amount of this pool as of the end of this reporting period."
P29,,,1.8,10,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.3 (Jun 2023 - Present).pdf,2023-06-01,2099-12-31,,,,RPB Factor,Numeric,"RPB Factor: Outstanding principal balance / original principal
balance."
P30,,,2.3,6,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.3 (Jun 2023 - Present).pdf,2023-06-01,2099-12-31,,,,Project Loan Security Interest Rate,Numeric,"Project Loan Security Interest Rate: The interest rate associated
with the Permanent Project Loan Security, from the Prospectus.
Will only be populated for CS Pool Types."
