Item,Data Element,Type,Max Length,Format,Description,Definition,File,Min_Date,Max_Date,Record_Type,pandas_dtype,polars_dtype
31,WA Original Term of Payments,Numeric,3,9(3),,"Weighted Average of Original Term of Payments for each
loan represented by a participation in the pool. The Original
Term of Payments is the original number of monthly
payments on a term or modified term loan, as of the
Origination Date",hnissuesS_layout.pdf,,,PS,Int64,Int64
32,WA Property Charges Set Aside,Numeric,14,11.2,,"Weighted Average of Property Charges Set Aside Amount
for each loan represented by a participation in the pool. The
Property Charges Set Aside Amount is an amount that a
borrower sets aside at closing to cover property charges such
as taxes, insurance, ground rents, homeowner’s association
fees, as reported by the issuer.",hnissuesS_layout.pdf,,,PS,,
33,WA Property Repair Set Aside,Numeric,14,11.2,,"Weighted Average of Property Repair Set Aside Amount for
each loan represented by a participation in the pool. The
Property Repair Set Aside Amount is an amount that a
borrower sets aside at closing to cover property repairs, as
reported by the issuer.",hnissuesS_layout.pdf,,,PS,,
34,WA Original Available Line of Credit,Numeric,14,11.2,,"Weighted Average of Original Line of Credit Amount for
each loan represented by a participation in the pool.",hnissuesS_layout.pdf,,,PS,,
35,WA Original Draw Amount,Numeric,14,11.2,,"Weighted Average of Original Draw Amount for each loan
represented by a participation in the pool. The Original Draw
Amount is the original amount drawn on a line of credit loan.",hnissuesS_layout.pdf,,,PS,,
36,WA Mortgage Margin,Numeric,6,2.3,,"Weighted Average of Mortgage Margin for each loan
represented by a participation in the pool. The Mortgage
Margin is the percentage points added to the index rate to
determine an ARM's interest rate.",hnissuesS_layout.pdf,,,PS,,
37,WA Lifetime Floor Rate,Numeric,6,2.3,,"Weighted Average of Lifetime Floor Rate for each loan
represented by a participation in the pool. The Lifetime
Floor Rate is the minimum interest rate that can be applied
during the loan term.",hnissuesS_layout.pdf,,,PS,,
38,WA Remaining Available Line of Credit,Numeric,14,11.2,,"Weighted Average of Remaining Line of Credit Amount for each loan represented by a participation in the pool. The Remaining Line of Credit reflects the remaining cash available to the borrower (net of any tenure or term set asides as well as any tax, maintenance, insurance or servicing set asides",hnissuesS_layout.pdf,,,PS,,
39,WA Monthly Scheduled Payment,Numeric,14,11.2,,"Weighted Average of Monthly Scheduled Payment for each
loan represented by a participation in the pool. The Monthly
Scheduled Payment is the scheduled amount that is payable
to the borrower on a monthly basis.",hnissuesS_layout.pdf,,,PS,,
40,WA Remaining Term of Payments,Numeric,3,9(3),,"Weighted Average of Remaining Term of Payments for each
loan represented by a participation in the pool. The
Remaining Term of Payments is the remaining number of
monthly payments on a term or modified term loan.",hnissuesS_layout.pdf,,,PS,Int64,Int64
41,WA Credit Line Set Aside,Numeric,14,11.2,,"Weighted Average of Credit Line Set Aside Amount for each
loan represented by a participation in the pool. The Credit
Line Set Aside Amount is the specified amount set aside at
Pool Issue Date for a line of credit.",hnissuesS_layout.pdf,,,PS,,
42,WA Lifetime Interest Rate Change Cap,Numeric,2,9(2),,"Weighted Average of Lifetime Interest Rate Change Cap for
each loan represented by a participation in the pool. The
Lifetime Interest Rate Change Cap limits the interest rate
increase over the life of the loan. The value is “5” for 1-Year
adjusting loans; this field is required only for annual
adjusting loans.",hnissuesS_layout.pdf,,,PS,Int64,Int64
43,WA Annual Interest Rate Change Cap,Numeric,2,9(2),,"Weighted Average of Annual Interest Rate Change Cap for
each loan represented by a participation in the pool. The
Annual Interest Rate Change Cap limits the interest rate
increase over the life of the loan. The value is “2” for 1-Year
adjusting loans; this field is required only for annual
adjusting loans.",hnissuesS_layout.pdf,,,PS,Int64,Int64
44,WA Maximum Interest Rate,Numeric,6,2.3,,"Weighted Average of Maximum Interest Rate for each loan
represented by a participation in the pool. The Maximum
Interest Rate is the maximum interest rate on the note. This
field is required only for monthly adjusting loans.",hnissuesS_layout.pdf,,,PS,,
45,WA Eligible Non- borrowing Spouse Age,Numeric,3,9(3),,"Weighted Average of the Eligible Non-borrowing Spouse
Age(s) for each loan represented by a participation in the",hnissuesS_layout.pdf,,,PS,Int64,Int64
46,WA Initial Remaining Available Line of Credit,Numeric,14,11.2,,"Weighted Average of the aggregate line of credit available
during the first twelve-month disbursement period to
borrowers under certain payment plans; for each loan
represented by a participation in the pool",hnissuesS_layout.pdf,,,PS,,
47,WA Initial Monthly Scheduled Payment Amount,Numeric,14,11.2,,"Weighted Average of the aggregate monthly amount that is
payable to HECM borrowers in a given month under certain
types of payment plans during the first twelve-month
disbursement period, for each loan represented by a
participation in the pool.",hnissuesS_layout.pdf,,,PS,,
1,Record Type = TP,Character,2,,,File Trailer Record,hnissuesS_layout.pdf,,,TP,,
