Item,Data Item,Begin,End,Type,Length,Remarks,File,Min_Date,Max_Date,Record_Type,pandas_dtype,polars_dtype
30,75th Percentile WARM (Q3),210,212,Numeric,3,9(3),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,Int64,Int64
31,Median WARM (Q2),213,215,Numeric,3,9(3),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,Int64,Int64
32,25th Percentile WARM (Q1),216,218,Numeric,3,9(3),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,Int64,Int64
33,Minimum WARM (Q0),219,221,Numeric,3,9(3),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,Int64,Int64
34,WALA,222,224,Numeric,3,9(3),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,Int64,Int64
35,Maximum WALA (Q4),225,227,Numeric,3,9(3),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,Int64,Int64
36,75th Percentile WALA (Q3),228,230,Numeric,3,9(3),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,Int64,Int64
37,Median WALA (Q2),231,233,Numeric,3,9(3),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,Int64,Int64
38,25th Percentile WALA (Q1),234,236,Numeric,3,9(3),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,Int64,Int64
39,Minimum WALA (Q0),237,239,Numeric,3,9(3),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,Int64,Int64
40,WAOLT,240,242,Numeric,3,9(3),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,Int64,Int64
41,Maximum WAOLT (Q4),243,245,Numeric,3,9(3),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,Int64,Int64
42,75th Percentile WAOLT (Q3),246,248,Numeric,3,9(3),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,Int64,Int64
43,Median WAOLT (Q2),249,251,Numeric,3,9(3),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,Int64,Int64
