Item,Data Item,Begin,End,Type,Length,Remarks,File,Min_Date,Max_Date,Record_Type,pandas_dtype,polars_dtype
3,File Number,24,26,Numeric,3,9(3),ptermmon_POOL TERMINATIONS MONTHLY Layout V1.1 (Apr 2017 - Mar 2020).pdf,2017-04-01,2020-03-01,Z,Int64,Int64
4,Pool Count (Control Total),27,33,Numeric,7,9(7),ptermmon_POOL TERMINATIONS MONTHLY Layout V1.1 (Apr 2017 - Mar 2020).pdf,2017-04-01,2020-03-01,Z,Int64,Int64
5,"Total Record Count in File (All Record Types, Including H and Z records)",34,42,Numeric,9,9(9),ptermmon_POOL TERMINATIONS MONTHLY Layout V1.1 (Apr 2017 - Mar 2020).pdf,2017-04-01,2020-03-01,Z,Int64,Int64
6,As of Date (CCYYMM),43,48,Numeric,6,9(6),ptermmon_POOL TERMINATIONS MONTHLY Layout V1.1 (Apr 2017 - Mar 2020).pdf,2017-04-01,2020-03-01,Z,Int64,Int64
1,Record Type H = File Header,1,1,Character,1,X,ptermmon_POOL TERMINATIONS MONTHLY Layout V1.2 (Apr 2020 - Present).pdf,2020-04-01,2099-12-31,H,string,String
2,File Name (GNMA_MBS_TP_XXX_CCYYMM),2,23,Character,22,X(22),ptermmon_POOL TERMINATIONS MONTHLY Layout V1.2 (Apr 2020 - Present).pdf,2020-04-01,2099-12-31,H,string,String
3,File Number,24,26,Numeric,3,9(3),ptermmon_POOL TERMINATIONS MONTHLY Layout V1.2 (Apr 2020 - Present).pdf,2020-04-01,2099-12-31,H,Int64,Int64
4,Correction Flag (If a replacement of previous file),27,27,Character,1,X,ptermmon_POOL TERMINATIONS MONTHLY Layout V1.2 (Apr 2020 - Present).pdf,2020-04-01,2099-12-31,H,string,String
5,As of Date (CCYYMM),28,33,Numeric,6,9(6),ptermmon_POOL TERMINATIONS MONTHLY Layout V1.2 (Apr 2020 - Present).pdf,2020-04-01,2099-12-31,H,Int64,Int64
6,Date File Generated (CCYYMMDD),34,41,Numeric,8,9(8),ptermmon_POOL TERMINATIONS MONTHLY Layout V1.2 (Apr 2020 - Present).pdf,2020-04-01,2099-12-31,H,Int64,Int64
1,Record Type P = Pool Record,1,1,Character,1,X,ptermmon_POOL TERMINATIONS MONTHLY Layout V1.2 (Apr 2020 - Present).pdf,2020-04-01,2099-12-31,P,string,String
2,CUSIP Number,2,10,Character,9,X(9),ptermmon_POOL TERMINATIONS MONTHLY Layout V1.2 (Apr 2020 - Present).pdf,2020-04-01,2099-12-31,P,string,String
